Signatur;Titel;Form und Inhalt;Entstehungszeitraum;Bemerkungen zur Datierung;Bemerkungen zum Umfang;Sprachen;ID
B-I-PECH-5.2;Thomas Mann an Rudolf Pechel;Kopie des Briefes vom 09.07.1954 aus Kilchberg, maschinenschriftlich;09.07.1954;Daten fehlen;1 Bl./1 S.;Deutsch;41194
B-I-PECH-6;Thomas Mann an Rudolf Pechel;Kopie der Ansichtskarte vom 02.02.1954 us Sils Maria, handschriftlich;02.02.1954;Daten fehlen;1 Bl./1 S.;Deutsch;133735
B-I-PECH-7;Thomas Mann an Rudolf Pechel;"Kopie des Briefes vom 13.03.1955 aus Kilchberg, maschinenschriftlich.
Zus�tzlich vermerkt: Korrekturen, handschriftlich";13.03.1955;Daten fehlen;1 Bl./1 S.;Deutsch;61388
B-I-PECH-8;Thomas Mann an Rudolf Pechel;"Kopie des Briefes vom 13.03.1955 aus Kilchberg, maschinenschriftlich.
Zus�tzlich vermerkt: Korrekturen, handschriftlich";25.06.1955;Daten fehlen;1 Bl./1 S.;Deutsch;27361
B-I-PEEB-1;Thomas Mann an Waldo C. Peebles;Kopie des Briefes vom 27.12.1935 aus K�snacht, maschinenschriftlich;27.12.1935;Daten fehlen;1 Bl./1 S.;Deutsch;119481
B-I-PEEB-2;Thomas Mann an Waldo C. Peebles;Durchschlag zum Brief vom 28.05.1942 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;28.05.1942;Daten fehlen;1 Bl./1 S.;Englisch;31333
B-I-PEEB-3;Thomas Mann an Waldo C. Peebles;Durchschlag zum Brief vom 22.09.1942 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;22.09.1942;Daten fehlen;1 Bl./1 S.;Englisch;100772
B-I-PEEL-1;Thomas Mann an John Peele;Durchschlag zum Brief vom 27.08.1946 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;27.08.1946;Daten fehlen;2 Bl./2 S.;Englisch;45331
B-I-PEIN-1;Thomas Mann an Waldo C. Peebles;Durchschlag zum Brief vom 05.01.1943 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;05.01.1943;Daten fehlen;1 Bl./1 S.;Deutsch;83761
B-I-PEIS-1;Thomas Mann an Werner Peiser;Durchschlag zum Brief vom 23.08.1948 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;23.08.1948;Daten fehlen;1 Bl./1 S.;Deutsch;87865
B-I-PELH-1;Thomas Mann an Edgar Pelham;Abschrift des Briefes vom 10.06.1938 aus Jamestown, maschinenschriftlich;10.06.1938;Daten fehlen;1 Bl./1 S.;Deutsch;36984
B-I-PELL-1;Thomas Mann an Walden Pell;Durchschlag zum Brief vom 13.02.1939 ohne Ort, gem�ss Regesten aus Princeton, maschinenschriftlich;13.02.1939;Daten fehlen;1 Bl./1 S.;Englisch;85965
B-I-PELM-1;Thomas Mann an Marcell Pellich, Walter Sokel und Herbert Selkowitsch;Kopie einer Abschrift des Briefes vom 18.01.1937 ohne Ort, handschriftlich;18.01.1937;Daten fehlen;2 Bl./2 S.;Deutsch;58037
B-I-PELM-2;Thomas Mann an Marcell Pellich;Durchschlag zum Brief vom 04.09.1941 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;04.09.1941;Daten fehlen;1 Bl./1 S.;Deutsch;88024
B-I-PENC-1;Thomas Mann an den PEN-Club, Deutsche Gruppe, London;Kopie des Briefes vom 31.03.1950 aus Pacific Palisades, maschinenschriftlich;31.03.1950;Daten fehlen;1 Bl./1 S.;Deutsch;134202
B-I-PENL-1;Thomas Mann an den englischen PEN-Club;"Kopie einer Abschrift des Briefes vom 19.01.1929 ohne Ort, maschinenschriftlich.
Zus�tzlich vermerkt: Kopie enth�lt auch Abschrift des Briefes vom 12.02.1924 an Herrn Galsworthy sowie vom 02.05.1924 an Miss Scott";19.01.1929;Daten fehlen;1 Bl./1 S.;"Englisch; Deutsch";78921
B-I-PENT-1;Thomas Mann an Brian Penton;Durchschlag zum Brief vom 05.09.1944 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;05.09.1944;Daten fehlen;1 Bl./1 S.;Englisch;127208
B-I-PENZ-1;Thomas Mann an Ernst Penzoldt;Kopie des Briefes vom 10.10.1928 aus M�nchen, maschinenschriftlich;10.10.1928;Daten fehlen;1 Bl./1 S.;Deutsch;54557
B-I-PENZ-2;Thomas Mann an Ernst Penzoldt;Kopie des Briefes vom 29.05.1929 aus M�nchen, maschinenschriftlich;29.05.1929;Daten fehlen;2 Bl./2 S.;Deutsch;51727
B-I-PENZ-3;Thomas Mann an Ernst Penzoldt;"Kopie der Briefkarte vom 15.04.1931 aus M�nchen, maschinenschriftlich.
Kopie des Briefumschlags";15.04.1931;Daten fehlen;2 Bl./2 S. + 2 Bl./2 S.;Deutsch;44442
B-I-PENZ-4;Thomas Mann an Ernst Penzoldt;Kopie des Briefes vom 30.03.1934 aus K�snacht, maschinenschriftlich;30.03.1934;Ohne Datum - gem�ss Regest 30.03.1934;1 Bl./1 S.;Deutsch;99651
B-I-PENZ-5;Thomas Mann an Ernst Penzoldt;Kopie des Briefes vom 11.07.1947 aus Flims, handschriftlich;11.07.1947;Daten fehlen;2 Bl./2 S.;Deutsch;124281
B-I-PENZ-6;Thomas Mann an Ernst Penzoldt;Kopie des Briefes vom 17.09.1947 aus Pacific Palisades, handschriftlich;17.09.1947;Daten fehlen;2 Bl./2 S.;Deutsch;60575
B-I-PENZ-7;Thomas Mann an Ernst Penzoldt;"Kopie des Briefes vom 07.01.1950 aus Pacific Palisades, handschriftlich.
Kopie des Briefumschlags";07.01.1950;Daten fehlen;2 Bl./4 S.;Deutsch;94358
B-I-PENZ-8;Thomas Mann an Ernst Penzoldt;Kopie der Ansichtskarte vom 06.07.1950 aus Z�rich, handschriftlich;06.07.1950;Daten fehlen;2 Bl./2 S.;Deutsch;101847
B-I-PEPP-1;Thomas Mann an George Pepper;Durchschlag zum Brief vom 18.05.1945 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;18.05.1945;Daten fehlen;1 Bl./1 S.;Deutsch;98361
B-I-PERE-1;Thomas Mann an Diomedes de Pereyra;Durchschlag zum Brief vom 28.05.1941 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;28.05.1941;Daten fehlen;1 Bl./1 S.;Deutsch;53364
B-I-PERF-1;Thomas Mann an F. Theodore Perkins;Durchschlag zum Brief vom 29.05.1948 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;29.05.1948;Daten fehlen;1 Bl./1 S.;Englisch;100380
B-I-PERI-1;Thomas Mann an Ilse S. Perkins;Durchschlag zum Brief vom 02.09.1948 aus Pacific Palisades, maschinenschriftlich;02.09.1948;Daten fehlen;1 Bl./2 S.;Deutsch;81869
B-I-PERLA-1;Thomas Mann an Arnold Perl;Durchschlag zum Brief vom 22.10.1938 aus Princeton, maschinenschriftlich;22.10.1938;Daten fehlen;1 Bl./1 S.;Englisch;56386
B-I-PERLC-1;Thomas Mann an Carl Johann Perl;Durchschlag zum Brief vom 31.08.1949 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;31.08.1949;Daten fehlen;1 Bl./1 S.;Deutsch;110169
B-I-PERLH-1;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 22.06.1932 aus M�nchen, handschriftlich;22.06.1932;Daten fehlen;2 Bl./2 S.;Deutsch;45887
B-I-PERLH-2;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 15.05.1933 aus Bandol, handschriftlich;15.05.1933;Daten fehlen;2 Bl./2 S.;Deutsch;62671
B-I-PERLH-3;James Hans Meisel f�r Thomas Mann an Walter H. Perl;Kopie des Briefes vom 04.03.1940 aus Princeton, maschinenschriftlich;04.03.1940;Daten fehlen;1 Bl./1 S.;Deutsch;90444
B-I-PERLH-4;Thomas Mann an Walter H. Perl;"Brief, Original, aus Pacific Palisades, handschriftlich.
Briefumschlag.";04.01.1942;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag;Deutsch;43732
B-I-PERLH-5;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 29.12.1944 aus Pacific Palisades, handschriftlich;29.12.1944;Daten fehlen;1 Bl./1 S.;Deutsch;119088
B-I-PERLH-6;Thomas Mann an Walter H. Perl;Negativkopie der Ansichtskarte vom 11.10.1944 aus Pacific Palisades, handschriftlich;11.10.1944;Daten fehlen;1 Bl./1 S.;Deutsch;93287
B-I-PERLH-7;Thomas Mann an Walter H. Perl;"Brief, Original, aus Pacific Palisades, handschriftlich.
Briefumschlag.";04.05.1945;Ohne Datum, mit Poststempel vom 4.5.1945;1 Bl./1 S. + 1 Briefumschlag;Deutsch;82128
B-I-PERLH-8.1;Thomas Mann an Walter H. Perl;Durchschlag zum Brief vom 19.07.1945 aus Pacific Palisades, maschinenschriftlich;19.07.1945;Daten fehlen;1 Bl./1 S.;Deutsch;31949
B-I-PERLH-8.2;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 19.07.1945 aus Pacific Palisades, maschinenschriftlich;19.07.1945;Daten fehlen;1 Bl./1 S.;Deutsch;82779
B-I-PERLH-9;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 03.08.1946 aus Pacific Palisades, handschriftlich;03.08.1946;Daten fehlen;1 Bl./1 S.;Deutsch;58907
B-I-PERLH-10;Thomas Mann an Walter H. Perl;Negativkopie des Briefes vom 03.10.1946 aus Pacific Palisades, handschriftlich;03.10.1946;Daten fehlen;2 Bl./2 S.;Deutsch;115657
B-I-PERLH-11;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 25.01.1948 aus Pacific Palisades, handschriftlich;25.01.1948;Daten fehlen;3 Bl./3 S.;Deutsch;23770
B-I-PERLH-12;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 06.05.1948 aus Pacific Palisades, maschinenschriftlich;06.05.1948;Daten fehlen;2 Bl./2 S.;Deutsch;38575
B-I-PERLH-13;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 20.05.1948 aus Pacific Palisades, maschinenschriftlich;20.05.1948;Daten fehlen;1 Bl./1 S.;Deutsch;129611
B-I-PERLH-14.1;Thomas Mann an Walter H. Perl;Durchschlag zum Brief vom 11.02.1950 aus Pacific Palisades, maschinenschriftlich;11.02.1950;Daten fehlen;1 Bl./1 S.;Deutsch;40319
B-I-PERLH-14.2;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 11.02.1950 aus Pacific Palisades, maschinenschriftlich;11.02.1950;Daten fehlen;1 Bl./1 S.;Deutsch;135327
B-I-PERLH-15;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 25.03.1950 aus Pacific Palisades, handschriftlich;25.03.1950;Daten fehlen;3 Bl./3 S.;Deutsch;83742
B-I-PERLH-16;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 18.04.1950 aus Pacific Palisades, maschinenschriftlich;18.04.1950;Daten fehlen;1 Bl./1 S.;Deutsch;59019
B-I-PERLH-17.1;Thomas Mann an Walter H. Perl;Durchschlag zum Brief vom 02.11.1950 aus Pacific Palisades, maschinenschriftlich;02.11.1950;Daten fehlen;1 Bl./1 S.;Deutsch;76844
B-I-PERLH-17.2;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 02.11.1950 aus Pacific Palisades, maschinenschriftlich;02.11.1950;Daten fehlen;1 Bl./1 S.;Deutsch;123309
B-I-PERLH-18;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 27.10.1951 aus Pacific Palisades, maschinenschriftlich;27.10.1951;Daten fehlen;1 Bl./1 S.;Deutsch;132579
B-I-PERLH-19;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 26.11.1951 aus Pacific Palisades, maschinenschriftlich;26.11.1951;Daten fehlen;1 Bl./1 S.;Deutsch;80237
B-I-PERLH-20;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 10.01.1952 aus Pacific Palisades, handschriftlich;10.01.1952;Daten fehlen;2 Bl./2 S.;Deutsch;80819
B-I-PERLH-21;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 10.04.1952 aus Pacific Palisades, maschinenschriftlich;10.04.1952;Daten fehlen;1 Bl./1 S.;Deutsch;96092
B-I-PERLH-22;Thomas Mann an Walter H. Perl;Kopie des Briefes vom 11.07.1952 aus Pacific Palisades, maschinenschriftlich;11.07.1952;Daten fehlen;1 Bl./1 S.;Deutsch;138651
B-I-PERLL-1;Thomas Mann an Grete Perleberg;Durchschlag zum Brief vom 20.08.1948 ohne Ort, gem�ss Regsten aus Pacific Palisades, maschinenschriftlich;20.08.1948;Daten fehlen;1 Bl./1 S.;Deutsch;75210
B-I-PERLM-1;Thomas Mann an [Louis?] Perlman;Durchschlag zum Brief vom 08.11.1940 aus Pacific Palisades, maschinenschriftlich;08.11.1940;Daten fehlen;1 Bl./1 S.;Englisch;68809
B-I-PERLS-1;Thomas Mann an Herrn [?] Perls;Durchschlag zum Brief vom 10.04.1942 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;10.04.1942;Daten fehlen;1 Bl./1 S.;Englisch;28984
B-I-PERR-1;Thomas Mann an Ruth J. Perry;Durchschlag zum Brief vom 09.09.1944 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;09.09.1944;Daten fehlen;1 Bl./1 S.;Deutsch;43883
B-I-PESCH-1;Thomas Mann an Hans Peschick;Durchschlag zum Brief vom 02.12.1949 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;02.12.1949;Daten fehlen;1 Bl./1 S.;Deutsch;110685
B-I-PEST-1;Thomas Mann an die Redaktion der Pesti Hirlap;"Kopie des Briefes vom 11.12.1924 aus M�nchen, handschriftlich.
Beilagen: Kopie einer Abschrift, maschinenschriftlich. Kopie einer Ver�ffentlichung, gedruckt.";11.12.1924;Daten fehlen;3 Bl./3 S. + 1 Bl./1 S. + 1 Bl./1 S.;Deutsch;36205
B-I-PETEA-1;Thomas Mann an Emmi Peter Akeret;Auktionskatalogsauszug zum Brief vom 30.01.1941 aus Princeton, gedruckt (fragmentarisch);30.01.1941;Daten fehlen;2 Bl./2 S.;Deutsch;47474
B-I-PETEB-1;Thomas Mann an Hans Armin Peter;Kopie des Briefes vom 06.08.1948 aus M�nchen, maschinenschriftlich;02.02.1925;Daten fehlen;1 Bl./1 S.;Deutsch;74234
B-I-PETEB-2;Thomas Mann an Hans Armin Peter;Kopie des Briefes vom 16.08.1929 aus Rauschen, maschinenschriftlich;16.08.1929;Daten fehlen;2 Bl./2 S.;Deutsch;100621
B-I-PETEB-3;Thomas Mann an Hans Armin Peter;Karte, Original, aus M�nchen, handschriftlich;15.10.1929;Ohne Datum, mit Poststempel vom 15.10.1929;1 Karte/2 S.;Deutsch;124339
B-I-PETEB-4.1;Thomas Mann an Hans Armin Peter;"Kopie des Briefes vom 04.06.1931 aus M�nchen, handschriftlich.
Zus�tzlich vermerkt: Notiz auf Kopie, handschriftlich.
Beilage: Abschrift, maschinenschriftlich";04.06.1931;Daten fehlen;2 Bl./2 S.;Deutsch;49829
B-I-PETEB-4.2;Thomas Mann an Hans Armin Peter;Abschrift des Briefes vom 04.06.1931 aus M�nchen, gedruckt;04.06.1931;Daten fehlen;1 Bl./1 S.;Deutsch;119583
B-I-PETEB-5;Thomas Mann an Hans Armin Peter;Kopie des Briefes vom 03.06.1935 aus K�snacht, maschinenschriftlich;03.06.1935;Daten fehlen;2 Bl./2 S.;Deutsch;128330
B-I-PETEB-6;Thomas Mann an Hans Armin Peter;Kopie der Briefkarte vom 13.11.1935 aus K�snacht, handschriftlich;13.11.1935;Daten fehlen;2 Bl./2 S.;Deutsch;83635
B-I-PETEB-7;Thomas Mann an Hans Armin Peter;Kopie der Briefkarte vom 20.11.1935 aus K�snacht, handschriftlich;20.11.1935;Daten fehlen;2 Bl./2 S.;Deutsch;62005
B-I-PETEC-1;Thomas Mann an Charles C. Peters;Durchschlag zum Brief vom 30.12.1942 aus Pacific Palisades, maschinenschriftlich;30.12.1942;Daten fehlen;1 Bl./1 S.;Englisch;109051
B-I-PETED-1;Thomas Mann an Friedrich Ernst Peters;Kopie des Briefes vom 19.03.1929 aus M�nchen, handschriftlich;19.03.1929;Daten fehlen;2 Bl./2 S.;Deutsch;112774
B-I-PETED-2.1;Thomas Mann an Friedrich Ernst Peters;"Kopie des Briefes vom 11.07.1929 aus M�nchen, handschriftlich.
Beilagen: Mail mit Hintergrundinformationen";11.07.1929;Daten fehlen;2 Bl./2 S. + 1 Bl./1 S.;Deutsch;141501
B-I-PETED-2.2;Thomas Mann an Friedrich Ernst Peters;Abschrift des Briefes vom 11.07.1929 aus M�nchen, gedruckt;11.07.1929;Daten fehlen;1 Bl./1 S.;Deutsch;46973
B-I-PETEE-1.1;Thomas Mann an Georg Asso Peters;Kopie des Briefes vom 09.10.1926 aus M�nchen, handschriftlich;09.10.1926;Daten fehlen;2 Bl./3 S.;Deutsch;68200
B-I-PETEE-1.2;Thomas Mann an Georg Asso Peters;Kopie einer Ver�ffentlichung des Briefes vom 09.10.1926 aus M�nchen, gedruckt;09.10.1926;Daten fehlen;2 Bl./2 S.;Deutsch;138030
B-I-PETEF-1;Thomas Mann an Karl Peters;Brief, Original, aus M�nchen, handschriftlich;23.02.1918;Daten fehlen;1 Bl./1 S.;Deutsch;56336
B-I-PETEF-2;Thomas Mann an Karl Peters;"Dankeskarte, Original, aus Kilchberg, gedruckt.
Briefumschlag";07.06.1955;Daten fehlen;1 Karte/2 S. + 1 Briefumschlag;Deutsch;46956
B-I-PETEG-1;Thomas Mann an Hugo Petersen;Duchschlag zum Brief vom 15.02.1948 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;15.02.1948;Daten fehlen;1 Bl./1 S.;Deutsch;80983
B-I-PETEH-1;Thomas Mann an Julius Petersen;Kopie der Postkarte vom 30.06.1928 aus M�nchen, handschriftlich;30.06.1928;Daten fehlen;2 Bl./2 S.;Deutsch;43609
B-I-PETEH-2;Thomas Mann an Julius Petersen;Kopie der Briefkarte vom 11.01.1929 aus M�nchen, handschriftlich;11.01.1929;Daten fehlen;2 Bl./2 S.;Deutsch;66438
B-I-PETEH-3;Thomas Mann an Julius Petersen;Kopie der Briefkarte vom 22.05.1929 aus M�nchen, handschriftlich;22.05.1929;Daten fehlen;2 Bl./2 S.;Deutsch;124565
B-I-PETEH-4;Thomas Mann an Julius Petersen;Kopie des Briefes vom 07.01.1930 aus Ettal, handschriftlich.;07.01.1930;Daten fehlen;1 Bl./1 S.;Deutsch;99821
B-I-PETEH-5;Thomas Mann an Julius Petersen;Kopie des Durchschlags zum Brief vom 07.03.1932 ohne Ort, gem�ss Regesten aus M�nchen, maschinenschriftlich;07.03.1932;Daten fehlen;2 Bl./2 S.;Deutsch;62598
B-I-PETEI-1;Thomas Mann an Felicie Crossley Peterson;Durchschlag zum Brief vom 04.02.1942 aus Pacific Palisades, maschinenschriftlich;04.02.1942;Daten fehlen;1 Bl./1 S.;Deutsch;28707
B-I-PETEJ-1;Thomas Mann an Virgilia Peterson;Durchschlag zum Brief vom 02.08.1948 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;02.08.1948;Daten fehlen;1 Bl./1 S.;Englisch;39315
B-I-PETEK-1;Thomas Mann an Wilhelm Peterson-Berger;Kopie des Briefes vom 22.01.1937 aus Arosa, maschinenschriftlich;22.01.1937;Daten fehlen;1 Bl./1 S.;Deutsch;85819
B-I-PETR-1;Thomas Mann an Hans-Dietrich Petrenz;Kopie einer Abschrift des Briefes vom 27.02.1950 aus Pacific Palisades, maschinenschriftlich;27.02.1950;Daten fehlen;1 Bl./1 S.;Deutsch;24162
B-I-PETT-1;Katia Mann f�r Thomas Mann an Charles B. Pettes;Durchschlag zum Brief vom 02.11.1940 ohne Ort, gem�ss Regesten aus Princeton, maschinenschriftlich;02.11.1940;Daten fehlen;1 Bl./1 S.;Englisch;50482
B-I-PEVS-1.1;Thomas Mann an Nikolaus Pevsner;"Kopie des Briefes vom 16.10.1918 aus M�nchen, handschriftlich.
Kopie des Briefumschlags.
Beilage: Abschrift, handschriftlich";16.10.1918;Daten fehlen;2 Bl./2 S. + 1 Bl./1 S.;Deutsch;94014
B-I-PEVS-1.2;Thomas Mann an Nikolaus Pevsner;Abschrift des Briefes vom 16.10.1918 aus M�nchen, handschriftlich.;16.10.1918;Daten fehlen;1 Bl./1 S.;Deutsch;102697
B-I-PFAN-1;Thomas Mann an Adolf Pfanner;Kopie des Briefes vom 03.07.1949 aus Schuls-Tarasp-Vulpera, handschriftlich;03.07.1949;Daten fehlen;1 Bl./1 S.;Deutsch;141837
B-I-PFAN-2;Thomas Mann an Adolf Pfanner;Kopie des Briefes vom 10.07.1952 aus Kandersteg, handschriftlich;10.07.1952;Daten fehlen;1 Bl./1 S.;Deutsch;49071
B-I-PFEF-1;Thomas Mann an Max Pfeffer;Durchschlag zum Brief vom 02.10.1941 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;02.10.1941;Daten fehlen;1 Bl./1 S.;Deutsch;109451
B-I-PFEF-2;Sekretariat Thomas Mann an Max Pfeffer;Durchschlag zum Brief vom 15.10.1941 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;15.10.1941;Daten fehlen;1 Bl./1 S.;Deutsch;121512
B-I-PFEI-1.1;Thomas Mann an Martin Pfeifer;"Abschrift des Briefes vom 18.09.1951 aus Z�rich, maschinenschriftlich.
Abschrift des Briefumschlags.";18.09.1951;Daten fehlen;1 Bl./1 S.;Deutsch;40084
B-I-PFEI-1.2;Thomas Mann an Martin Pfeifer;"Abschrift des Briefes vom 18.09.1951 aus Z�rich, GEDRUCKT.
Zus�tzlich vermerkt: Anmerkung, handschriftlich";18.09.1951;Daten fehlen;1 Bl./1 S.;Deutsch;75657
B-I-PFEIF-1;Thomas Mann an Frederick L. Pfeiffer;"Auktionskatalogsauszug zum Brief vom 23.02.1940 aus San Antonio, gedruckt (fragmentarisch).
Zus�tzlich vermerkt: Empf�nger ist als Friedrich L. Pfeiffer angegeben, Name wurde recherchiert.";23.02.1940;Daten fehlen;1 Bl./1 S.;Deutsch;111590
B-I-PFEK-1;Thomas Mann an Karlheinz Pfeiffer;"Brief, Original, aus Pacific Palisades, maschinenschriftlich.
Briefumschlag.
Beilage: Foto, im Brief erw�hnt, mit Notiz von Karlheinz Pfeiffer auf der R�ckseite, handschriftlich.";18.02.1952;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag + 1 Foto/2 S.;Deutsch;102252
B-I-PFEL-1;Thomas Mann an Erich Pfeiffer-Belli;Nachweis zum Brief vom 24.08.1931 aus Nidden;24.08.1931;Daten fehlen;Daten fehlen;Deutsch;129984
B-I-PFEL-2.1;Thomas Mann an Erich Pfeiffer-Belli;Kopie des Briefes vom 21.12.1933 aus K�snacht, handschriftlich;21.12.1933;Daten fehlen;3 Bl./3 S.;Deutsch;27215
B-I-PFEL-2.2;Thomas Mann an Erich Pfeiffer-Belli;Durchschlag einer Abschrift des Briefes vom 21.12.1933 aus K�snacht, maschinenschriftlich;21.12.1933;Daten fehlen;2 Bl./2 S.;Deutsch;110258
B-I-PFEL-3;Thomas Mann an Erich Pfeiffer-Belli;"Kopie der Briefkarte vom 15.06.1955 aus Kilchberg, handschriftlich.
Zus�tzlich vermerkt: handschriftliche Teilabschrift auf der R�ckseite";15.06.1955;Daten fehlen;2 Bl./3 S.;Deutsch;55134
B-I-PFEW-1;Thomas Mann an [William Karl] Pfeiler;Durchschlag zum Brief vom 04.02.1949 ohne Ort, gem�ss Regesten aus Pacific Palisades, maschinenschriftlich;04.02.1949;Daten fehlen;1 Bl./1 S.;Deutsch;98868
B-I-PFIT-1;Thomas Mann an Hans Pfitzner;Kopie des Briefes vom 19.05.1917 aus M�nchen, handschriftlich;19.05.1917;Daten fehlen;2 Bl./6 S.;Deutsch;136163
B-I-PFIT-2.1;Thomas Mann an Hans Pfitzner;Kopie der Briefkarte vom 14.08.1919 aus M�nchen, handschriftlich;14.08.1919;Daten fehlen;1 Bl./2 S.;Deutsch;51292
B-I-PFIT-2.2;Thomas Mann an Hans Pfitzner;Abschrift der Briefkarte vom 14.08.1919 aus M�nchen, maschinenschriftlich;14.08.1919;Daten fehlen;1 Bl./1 S.;Deutsch;53446
B-I-PFIT-3;Thomas Mann an Hans Pfitzner;Kopie einer Abschrift des Briefes vom 02.10.1919 aus M�nchen, maschinenschriftlich;02.10.1919;Daten fehlen;1 Bl./1 S.;Deutsch;131271
B-I-PFIT-4.1;Thomas Mann an Hans Pfitzner;Kopie des Briefes vom 23.06.1925 aus M�nchen, handschriftlich;23.06.1925;Daten fehlen;2 Bl./6 S.;Deutsch;47204
B-I-PFIT-4.2;Thomas Mann an Hans Pfitzner;Abschrift des Briefes vom 23.06.1925 aus M�nchen, maschinenschriftlich;23.06.1925;Daten fehlen;2 Bl./2 S.;Deutsch;96044
B-I-PFLU-1;Thomas Mann an Alexander Pfl�ger;Kopie des Briefes vom 23.11.1929 aus Oberammergau, maschinenschriftlich;23.11.1929;Daten fehlen;1 Bl./1 S.;Deutsch;96303
B-I-PHIL-1;Thomas Mann an Hugo-Wolfgang Philipp;Kopie des Briefes vom 30.1.1939 aus Princeton, maschinenschriftlich;30.01.1939;Daten fehlen;2 Bl./2 S.;Deutsch;36723
B-I-PHILA-1;Thomas Mann an Georg Rudolf Philipps;"Brief, Original, aus Pacific Palisades, handschriftlich.
Briefumschlag";17.10.1951;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;100470
B-I-PHILA-2;Thomas Mann an Georg Rudolf Philipps;"Brief, Original, aus Pacific Palisades, handschriftlich.
Briefumschlag";28.01.1952;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;77158
B-I-PHILB-1.1;Thomas Mann an Ernst Alfred Philippson;"Brief, Original, aus Pacific Palisades, handschriftlich.
Briefumschlag";04.07.1944;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag;Deutsch;46484
B-I-PHILB-1.2;Thomas Mann an Ernst Alfred Philippson;Durchschlag einer Abschrift des Briefes vom 04.07.1944 aus Pacific Palisades, maschinenschriftlich;04.07.1944;Daten fehlen;1 Bl./1 S.;Deutsch;34699
B-I-PHILB-2.1;Thomas Mann an Ernst Alfred Philippson;Ansichtskarte, Original, aus Pacific Palisades, handschriftlich;13.09.1945;Daten fehlen;1 Karte/2 S.;Deutsch;106569
B-I-PHILB-2.2;Thomas Mann an Ernst Alfred Philippson;Durchschlag einer Abschrift der Ansichtskarte vom 04.07.1944 aus Pacific Palisades, maschinenschriftlich;13.09.1945;Daten fehlen;1 Bl./1 S.;Deutsch;103831
B-I-PHILB-3.1;Thomas Mann an Ernst Alfred Philippson;"Brief, Original, aus Pacific Palisades, handschriftlich.
Briefumschlag";22.10.1947;Daten fehlen;1 Bl./1 S. + 1 Briefumschlag;Deutsch;134769
B-I-PHILB-3.2;Thomas Mann an Ernst Alfred Philippson;Durchschlag einer Abschrift des Briefes vom 22.10.1947 aus Pacific Palisades, maschinenschriftlich;22.10.1947;Daten fehlen;1 Bl./1 S.;Deutsch;26989
B-I-PHILB-4;Thomas Mann an Ernst Alfred Philippson;"Brief, Original, aus Erlenbach, handschriftlich.
Briefumschlag";22.07.1953;Daten fehlen;1 Bl./2 S. + 1 Briefumschlag;Deutsch;58416
B-I-PHILC-1;Thomas Mann an Ivar Philipson;Kopie einer Abschrift des Briefes vom 06.06.1947 ohne Ort, aus Pacific Palisades, maschinenschriftlich;06.06.1947;Daten fehlen;1 Bl./1 S.;Deutsch;33943
